source,period,Label,count
174,2014,1,1
174,2015,1,1
176,2017,1,1
179,2017,1,1
181,2015,1,1
181,2016,1,1
182,2016,1,1
183,2014,1,1
184,2014,1,1
184,2016,1,1
185,2015,-1,7
187,2014,1,43
187,2015,1,14
187,2016,1,11
187,2017,1,8
189,2015,1,19
189,2016,-1,3
189,2016,1,6
189,2017,-1,1
190,2014,1,6
190,2015,1,7
190,2016,1,6
190,2017,1,1
191,2014,1,1
191,2015,1,1
192,2014,1,3
192,2015,1,1
192,2016,-1,1
193,2016,1,1
194,2014,-1,1
194,2014,1,4
194,2015,1,11
194,2016,-1,1
194,2016,1,11
194,2017,1,1
195,2015,1,3
195,2016,1,2
195,2017,1,1
196,2015,1,3
197,2016,1,1
198,2014,1,1
199,2014,1,1
203,2014,1,1
203,2015,1,1
203,2016,-1,1
203,2016,1,5
204,2017,1,5
208,2016,1,1
209,2014,1,1
210,2016,1,2
211,2015,1,1
211,2017,1,1
212,2015,-1,1
213,2017,1,1
214,2016,1,2
215,2015,1,3
215,2016,1,1
216,2017,1,2
217,2015,1,2
218,2014,1,1
220,2016,1,1
221,2016,1,8
223,2015,1,1
224,2015,1,6
224,2016,1,1
226,2014,-1,1
226,2014,1,5
226,2015,1,5
226,2016,1,1
227,2016,1,1
228,2015,1,3
231,2014,1,3
232,2015,1,8
232,2016,1,32
232,2017,1,2
234,2014,1,1
234,2015,1,2
234,2016,1,1
235,2015,1,1
236,2016,1,4
237,2015,1,9
237,2016,1,8
237,2017,1,5
238,2016,1,1
239,2016,1,1
240,2016,1,9
241,2014,1,3
241,2015,1,2
241,2016,1,2
241,2017,1,11
243,2014,1,4
244,2015,1,2
244,2016,-1,1
244,2016,1,5
244,2017,1,3
246,2015,1,1
247,2015,1,1
248,2015,1,4
249,2014,1,1
250,2016,1,1
251,2016,-1,1
251,2016,1,4
252,2016,1,1
252,2017,1,1
253,2014,1,2
254,2015,1,4
254,2016,1,1
255,2016,1,2
256,2016,1,1
257,2015,1,1
258,2016,1,2
259,2016,1,1
260,2015,1,1
260,2016,1,3
261,2015,1,1
262,2015,1,1
263,2016,1,1
265,2014,1,1
266,2014,-1,1
266,2014,1,2
267,2015,1,2
268,2014,1,7
269,2015,1,3
270,2014,1,1
270,2016,1,1
271,2016,1,1
272,2016,-1,1
273,2014,1,2
274,2014,1,1
274,2015,1,1
275,2015,1,1
275,2016,1,1
276,2014,1,3
277,2016,1,1
278,2016,1,1
279,2014,1,2
279,2015,1,2
279,2016,1,1
280,2014,1,48
280,2015,-1,1
280,2015,1,55
280,2016,-1,1
280,2016,1,43
280,2017,-1,1
280,2017,1,13
281,2014,1,2
282,2016,1,2
284,2016,1,2
286,2016,1,1
287,2014,-1,16
287,2014,1,166
287,2015,-1,7
287,2015,1,164
287,2016,-1,11
287,2016,1,172
287,2017,-1,3
287,2017,1,49
288,2016,1,1
289,2015,1,1
290,2016,1,1
290,2017,1,2
291,2016,1,1
292,2014,-1,1
292,2014,1,2
292,2015,-1,2
292,2015,1,5
292,2016,-1,2
292,2016,1,2
292,2017,1,3
293,2014,1,5
295,2015,1,1
295,2016,1,2
298,2014,1,1
298,2015,1,5
298,2016,1,1
298,2017,1,1
299,2015,1,7
299,2016,1,4
299,2017,1,2
300,2017,1,1
302,2015,1,1
303,2014,1,1
304,2014,-1,1
304,2014,1,20
304,2015,1,22
304,2016,-1,7
304,2016,1,46
304,2017,-1,1
304,2017,1,12
305,2014,1,42
305,2015,-1,5
305,2015,1,124
305,2016,-1,6
305,2016,1,285
305,2017,-1,1
305,2017,1,81
306,2015,-1,1
306,2015,1,4
307,2014,1,3
308,2017,1,1
309,2015,1,1
310,2016,1,1
312,2014,1,2
313,2016,1,2
314,2014,1,3
314,2015,1,4
314,2016,1,1
316,2016,1,1
317,2014,1,1
319,2014,-1,7
319,2014,1,20
319,2015,-1,1
319,2015,1,18
319,2016,-1,2
319,2016,1,10
320,2015,1,1
320,2016,1,1
320,2017,1,1
321,2016,1,1
322,2016,1,1
326,2017,1,1
327,2015,1,1
327,2016,1,1
328,2015,1,2
329,2015,1,1
330,2016,1,3
331,2016,1,1
332,2015,1,2
333,2014,1,2
333,2015,1,1
334,2016,1,1
336,2014,-1,1
336,2014,1,1
337,2015,1,1
340,2014,1,2
340,2015,1,2
340,2016,1,5
340,2017,1,1
341,2015,1,2
341,2016,1,13
341,2017,1,2
342,2015,1,1
343,2015,1,2
345,2014,1,1
346,2014,1,1
347,2016,1,3
351,2015,1,3
352,2014,1,1
352,2016,1,1
353,2015,1,1
354,2014,1,1
355,2016,1,2
356,2014,1,2
356,2015,1,2
356,2016,1,2
356,2017,1,1
357,2015,1,2
358,2016,1,1
358,2017,1,1
359,2016,1,2
359,2017,1,1
360,2016,1,1
361,2017,1,1
362,2016,1,2
363,2017,1,1
364,2014,1,3
364,2015,1,6
364,2016,1,8
364,2017,1,3
365,2015,1,2
365,2016,1,4
365,2017,1,3
366,2016,1,1
367,2015,1,2
368,2014,1,3
368,2015,1,3
368,2016,1,4
368,2017,1,2
369,2016,1,5
369,2017,1,1
370,2015,1,1
371,2017,1,1
372,2014,1,2
373,2014,1,1
373,2015,1,1
374,2015,1,4
376,2016,1,1
378,2015,1,1
379,2015,1,1
381,2017,1,1
382,2014,1,1
384,2016,1,2
385,2014,1,1
387,2017,1,1
388,2014,1,2
389,2016,1,1
390,2014,1,3
391,2016,1,1
392,2016,1,1
393,2014,1,1
393,2015,-1,2
393,2015,1,2
393,2016,-1,6
393,2016,1,26
393,2017,1,8
394,2014,1,5
394,2015,1,2
394,2016,1,9
394,2017,1,1
396,2014,1,8
396,2015,1,5
396,2016,1,4
398,2016,1,5
399,2016,1,1
400,2014,1,1
400,2015,-1,1
400,2015,1,2
400,2016,1,2
402,2017,1,1
403,2014,-1,1
405,2014,1,2
405,2016,1,1
405,2017,1,1
406,2015,1,1
407,2015,1,6
407,2016,1,25
408,2015,1,1
409,2016,1,4
409,2017,1,2
410,2016,1,1
411,2015,1,3
411,2016,1,1
412,2015,1,1
413,2015,1,3
414,2016,1,1
415,2016,1,1
415,2017,1,1
416,2016,1,1
417,2015,1,1
418,2014,1,10
419,2014,-1,2
419,2014,1,94
419,2015,-1,14
419,2015,1,142
419,2016,-1,14
419,2016,1,270
419,2017,-1,6
419,2017,1,94
420,2017,1,1
421,2016,1,1
422,2014,1,1
422,2015,1,1
422,2016,1,5
423,2016,-1,1
423,2016,1,7
424,2015,-1,19
424,2015,1,31
424,2016,-1,9
424,2016,1,24
424,2017,-1,1
424,2017,1,3
425,2014,1,1
425,2015,1,7
425,2016,1,15
425,2017,1,8
426,2015,1,1
426,2016,1,2
427,2015,1,3
427,2016,1,5
428,2016,-1,1
428,2016,1,6
428,2017,-1,1
428,2017,1,5
429,2017,1,1
430,2015,1,1
431,2014,-1,2
431,2015,-1,1
431,2015,1,4
432,2014,1,2
432,2015,1,1
432,2016,1,1
433,2016,1,1
434,2015,1,1
435,2014,1,13
435,2015,1,2
436,2016,1,3
437,2014,-1,1
437,2014,1,15
437,2015,1,6
437,2016,-1,1
437,2016,1,3
437,2017,1,1
438,2015,-1,1
439,2016,1,1
439,2017,1,2
440,2015,1,1
440,2017,1,1
441,2017,1,1
442,2017,1,1
443,2014,1,1
443,2016,1,2
444,2015,1,1
444,2016,1,1
445,2014,1,1
445,2015,1,1
446,2017,1,1
448,2015,1,7
448,2016,-1,1
448,2016,1,19
448,2017,1,5
449,2015,1,1
451,2015,1,1
452,2014,1,5
452,2015,-1,1
452,2015,1,5
452,2016,1,1
453,2014,1,1
453,2015,1,3
453,2016,1,3
453,2017,1,1
454,2016,1,28
456,2017,1,1
457,2015,1,2
458,2014,1,1
459,2015,1,5
459,2016,-1,1
459,2016,1,27
459,2017,1,38
460,2015,1,1
461,2017,1,1
462,2016,1,1
464,2016,1,2
466,2014,1,2
467,2016,1,1
468,2016,1,1
469,2015,1,2
470,2015,1,1
471,2014,-1,4
471,2014,1,58
471,2015,-1,4
471,2015,1,53
471,2016,-1,3
471,2016,1,110
471,2017,1,118
472,2016,-1,40
472,2016,1,128
472,2017,-1,10
472,2017,1,40
473,2017,1,1
474,2014,-1,1
475,2015,1,2
475,2016,1,2
476,2014,1,1
478,2014,1,2
479,2014,1,2
480,2015,1,1
481,2014,1,1
481,2015,1,1
481,2017,1,1
482,2017,1,1
483,2014,1,2
484,2015,1,3
484,2016,1,1
485,2016,1,2
486,2014,1,8
486,2015,1,1
487,2015,1,1
488,2017,1,1
489,2014,1,3
489,2015,-1,1
489,2015,1,15
489,2016,1,12
489,2017,-1,2
489,2017,1,6
490,2016,1,1
491,2014,1,1
493,2015,1,1
495,2016,1,1
496,2014,-1,4
496,2014,1,9
496,2015,1,1
497,2016,1,11
497,2017,1,6
501,2016,1,1
502,2015,1,4
502,2016,1,15
502,2017,1,3
503,2016,1,1
505,2016,-1,1
506,2014,1,2
507,2015,1,1
508,2014,1,1
509,2015,1,2
509,2016,1,3
509,2017,1,1
510,2015,1,4
510,2016,1,4
513,2015,1,1
513,2016,1,2
514,2017,1,1
515,2014,1,3
515,2015,1,1
516,2015,1,1
517,2017,1,1
519,2015,-1,1
519,2015,1,4
520,2016,1,1
521,2016,1,1
522,2014,1,5
522,2015,-1,1
522,2015,1,5
523,2016,1,1
523,2017,1,7
524,2017,1,1
525,2016,1,3
526,2014,-1,51
526,2014,1,227
526,2015,-1,64
526,2015,1,251
526,2016,-1,11
526,2016,1,55
526,2017,-1,3
526,2017,1,12
527,2017,1,11
528,2014,-1,51
528,2014,1,292
528,2015,-1,54
528,2015,1,334
528,2016,-1,46
528,2016,1,377
528,2017,-1,14
528,2017,1,126
529,2014,1,1
529,2016,1,1
529,2017,1,2
530,2015,1,1
531,2015,1,1
531,2016,1,1
532,2015,1,1
533,2014,1,42
533,2015,-1,3
533,2015,1,65
533,2016,-1,3
533,2016,1,65
533,2017,1,41
534,2014,1,57
534,2015,-1,4
534,2015,1,185
534,2016,-1,3
534,2016,1,94
534,2017,1,18
535,2014,-1,2
535,2014,1,19
535,2015,-1,3
535,2015,1,14
535,2016,-1,1
535,2016,1,4
535,2017,1,3
536,2016,1,1
537,2014,1,1
539,2016,1,1
541,2016,1,4
543,2016,1,1
544,2014,1,1
544,2015,1,1
546,2014,1,2
546,2015,-1,1
547,2014,1,1
547,2016,1,1
548,2015,1,1
549,2015,1,2
551,2014,1,1
552,2015,1,3
552,2016,1,6
553,2014,-1,1
553,2014,1,9
553,2015,1,5
553,2016,1,13
553,2017,1,5
554,2014,1,5
554,2015,1,3
554,2016,1,2
554,2017,1,2
556,2015,1,1
557,2015,1,1
557,2016,1,1
558,2014,1,1
558,2015,1,1
558,2016,1,1
559,2017,1,1
560,2014,1,1
561,2014,1,3
562,2015,-1,1
563,2014,1,1
564,2017,1,1
566,2016,-1,2
566,2016,1,1
567,2014,1,1
568,2017,1,1
569,2015,1,1
570,2016,1,1
571,2014,1,3
572,2016,1,1
573,2016,1,3
573,2017,1,1
574,2017,1,1
576,2014,-1,1
576,2014,1,22
576,2015,-1,12
576,2015,1,99
576,2016,-1,2
576,2016,1,40
578,2016,1,1
579,2016,1,1
580,2014,1,4
580,2015,1,2
581,2015,1,1
582,2016,1,1
583,2015,1,1
583,2016,1,1
583,2017,1,2
584,2015,1,1
584,2017,1,1
585,2016,1,4
585,2017,1,4
586,2014,1,2
587,2016,1,1
588,2014,1,1
588,2015,-1,1
588,2015,1,2
588,2016,1,1
590,2015,1,1
591,2015,1,1
592,2016,1,1
593,2015,1,1
594,2015,1,1
595,2016,1,3
596,2014,1,1
598,2015,1,1
599,2014,1,7
599,2015,1,4
599,2016,1,1
601,2015,1,1
602,2016,1,1
603,2016,1,2
605,2014,1,1
605,2015,-1,1
605,2015,1,8
605,2016,1,2
605,2017,1,1
606,2017,1,1
607,2015,1,1
608,2015,-1,1
608,2015,1,1
609,2014,1,1
610,2016,1,5
611,2015,1,2
611,2016,1,5
611,2017,1,1
612,2016,1,1
614,2017,1,1
617,2015,1,1
618,2015,1,1
619,2014,1,1
620,2016,1,1
621,2015,1,18
621,2016,1,7
622,2016,-1,1
622,2016,1,7
624,2016,1,1
625,2017,1,1
630,2016,-1,1
630,2016,1,4
630,2017,1,1
631,2014,1,1
631,2015,1,1
631,2016,1,1
631,2017,1,1
633,2016,1,3
635,2015,1,1
636,2014,-1,4
636,2014,1,138
636,2015,-1,3
636,2015,1,138
636,2016,-1,5
636,2016,1,153
636,2017,-1,1
636,2017,1,31
637,2015,1,1
638,2017,1,1
639,2014,1,2
639,2015,1,7
639,2016,1,4
639,2017,1,2
640,2016,1,5
640,2017,1,1
642,2015,1,1
643,2014,1,7
643,2015,1,8
643,2016,1,8
643,2017,1,5
645,2015,1,1
646,2014,1,1
647,2016,1,1
648,2014,1,2
648,2015,1,2
648,2016,1,3
649,2016,1,1
650,2016,1,1
651,2014,1,1
652,2015,1,1
653,2014,1,1
655,2015,1,1
656,2014,-1,1
656,2014,1,8
656,2015,-1,1
656,2015,1,3
656,2016,1,7
656,2017,1,2
658,2014,1,1
660,2017,-1,2
660,2017,1,39
661,2014,1,1
663,2016,1,4
664,2016,1,2
666,2014,1,1
667,2015,-1,4
667,2015,1,69
667,2016,-1,27
667,2016,1,476
667,2017,-1,11
667,2017,1,145
668,2016,1,1
670,2015,1,1
671,2014,-1,1
671,2014,1,1
671,2016,1,1
673,2017,-1,1
673,2017,1,3
674,2014,1,1
674,2015,1,1
675,2015,-1,2
675,2015,1,16
675,2016,-1,1
675,2016,1,4
678,2016,1,1
679,2015,1,1
680,2015,1,1
681,2016,1,1
682,2014,1,4
682,2015,1,2
682,2016,1,3
682,2017,1,2
683,2014,1,6
683,2015,1,6
683,2016,1,7
683,2017,1,2
684,2015,1,53
684,2016,1,75
684,2017,-1,2
684,2017,1,27
685,2016,1,1
686,2017,1,1
687,2015,1,2
688,2016,1,11
688,2017,1,1
689,2015,1,1
690,2014,1,1
690,2015,1,1
692,2014,1,2
693,2016,1,1
695,2017,1,1
697,2016,1,1
698,2016,1,1
699,2016,-1,1
700,2014,1,1
701,2014,1,2
701,2015,1,18
701,2016,1,14
701,2017,1,8
702,2014,1,1
703,2015,1,1
704,2015,1,2
705,2017,1,1
707,2014,1,5
707,2016,1,1
708,2015,1,1
709,2016,1,1
710,2015,1,1
710,2016,1,1
712,2017,1,7
713,2016,1,13
713,2017,1,4
714,2015,1,1
715,2014,1,2
715,2015,-1,1
715,2015,1,2
715,2016,1,6
716,2017,1,1
718,2016,-1,2
718,2016,1,1
719,2015,1,1
719,2016,1,1
720,2014,1,1
720,2015,1,4
721,2016,1,2
722,2015,1,8
722,2016,1,3
723,2014,1,1
723,2015,1,8
724,2014,-1,1
724,2014,1,10
724,2015,-1,1
724,2015,1,22
724,2016,1,21
724,2017,-1,3
724,2017,1,8
725,2015,1,3
726,2016,1,1
727,2014,1,1
728,2015,1,1
728,2016,1,1
729,2015,-1,1
730,2014,1,1
730,2015,1,4
730,2016,1,8
730,2017,1,1
731,2014,-1,3
731,2014,1,56
731,2015,-1,13
731,2015,1,36
731,2016,-1,2
731,2016,1,21
731,2017,1,4
733,2016,1,1
734,2017,1,1
735,2015,1,1
736,2016,1,1
736,2017,1,1
737,2016,1,1
738,2015,1,1
738,2016,1,4
739,2016,1,1
740,2016,1,3
740,2017,1,1
741,2014,1,3
742,2016,-1,5
742,2016,1,10
744,2017,1,5
745,2014,1,5
745,2015,1,10
745,2016,-1,1
745,2016,1,22
745,2017,1,3
747,2017,1,1
748,2014,1,17
748,2015,-1,1
748,2015,1,18
748,2016,-1,7
748,2016,1,47
748,2017,1,8
749,2014,1,4
749,2015,1,6
749,2016,1,8
749,2017,1,5
750,2016,1,1
751,2014,1,2
752,2016,-1,1
752,2016,1,1
753,2015,1,1
754,2014,1,1
755,2015,1,1
757,2016,1,2
758,2015,1,1
759,2015,1,4
759,2017,1,1
760,2015,1,1
760,2016,1,2
761,2014,-1,1
761,2014,1,30
761,2015,1,10
763,2016,1,1
765,2016,1,1
767,2015,1,1
768,2017,1,1
769,2015,-1,1
769,2015,1,4
769,2016,-1,2
770,2015,-1,1
770,2015,1,5
770,2016,1,2
770,2017,1,1
771,2014,1,1
773,2014,1,4
773,2015,1,5
773,2016,1,2
774,2014,1,1
775,2015,1,1
776,2017,1,1
777,2014,1,3
778,2017,1,1
779,2016,1,1
780,2017,1,1
782,2014,1,1
783,2014,1,1
783,2015,-1,1
783,2015,1,9
784,2016,1,1
786,2015,1,1
787,2014,1,1
788,2016,1,3
788,2017,1,2
790,2015,1,1
792,2015,1,3
792,2016,1,6
793,2014,1,2
794,2016,1,1
795,2017,-1,2
796,2014,1,1
797,2016,1,1
798,2014,1,3
799,2015,1,2
800,2016,1,1
801,2016,1,1
802,2015,1,7
803,2014,1,9
803,2015,1,4
803,2016,1,8
803,2017,1,1
804,2015,1,1
805,2015,1,1
806,2016,1,8
808,2016,1,1
809,2015,1,1
810,2014,1,1
810,2015,1,1
811,2017,1,1
812,2015,1,1
813,2013,1,1
813,2014,1,18
813,2015,-1,1
813,2015,1,32
813,2016,1,48
813,2017,1,13
814,2017,1,1
815,2017,-1,1
815,2017,1,2
816,2014,-1,1
816,2014,1,50
816,2015,-1,1
816,2015,1,40
816,2016,-1,2
816,2016,1,84
816,2017,1,139
817,2015,1,1
819,2017,1,2
820,2015,1,4
820,2016,-1,1
820,2016,1,7
820,2017,1,1
822,2016,1,1
823,2015,1,2
824,2014,1,1
824,2016,1,2
824,2017,1,1
825,2015,1,1
825,2016,1,2
826,2015,1,3
826,2016,1,1
827,2015,-1,1
827,2015,1,5
827,2016,1,4
828,2015,1,3
830,2014,1,1
831,2015,1,1
833,2015,1,1
834,2016,1,4
835,2015,1,1
836,2016,1,1
836,2017,1,2
838,2015,1,2
839,2016,1,1
840,2016,1,1
841,2015,1,1
842,2016,1,1
843,2015,1,2
844,2016,1,1
845,2016,1,1
846,2014,1,1
846,2015,1,2
846,2016,-1,1
846,2016,1,1
847,2014,1,9
847,2015,1,32
847,2016,1,41
847,2017,1,19
848,2016,1,1
849,2014,1,1
850,2017,1,1
851,2014,1,2
851,2015,1,5
851,2016,-1,1
851,2016,1,1
851,2017,1,1
852,2014,1,24
852,2015,1,10
852,2016,1,19
852,2017,1,9
853,2016,-1,2
854,2016,1,1
855,2016,1,1
856,2015,1,2
857,2017,1,1
858,2016,1,2
859,2014,1,6
859,2015,1,1
859,2016,1,4
860,2014,1,1
860,2015,1,2
860,2016,1,3
861,2016,1,1
862,2014,1,7
864,2017,1,2
865,2015,1,1
866,2015,1,1
866,2016,1,1
867,2014,1,1
868,2014,1,10
868,2015,1,14
868,2016,1,14
868,2017,-1,1
868,2017,1,2
869,2015,1,1
870,2014,1,13
870,2015,1,8
870,2016,1,17
870,2017,1,4
872,2014,1,1
874,2015,1,2
875,2014,-1,5
875,2014,1,318
875,2015,-1,4
875,2015,1,119
875,2016,-1,3
875,2016,1,178
875,2017,-1,2
875,2017,1,79
876,2016,1,4
876,2017,1,1
877,2014,1,1
878,2016,1,1
879,2014,1,2
879,2015,1,5
879,2016,1,2
879,2017,1,2
880,2014,1,18
880,2015,-1,3
880,2015,1,24
880,2016,-1,2
880,2016,1,34
880,2017,-1,1
880,2017,1,6
881,2014,1,2
882,2015,1,1
883,2017,-1,1
884,2017,1,1
885,2014,1,1
886,2015,1,1
887,2014,1,7
887,2015,1,10
887,2016,1,4
887,2017,1,1
888,2014,1,67
888,2015,1,70
888,2016,-1,2
888,2016,1,71
888,2017,1,39
889,2016,1,1
890,2016,1,1
890,2017,1,1
891,2014,1,1
891,2015,1,1
891,2016,1,1
893,2015,1,3
894,2015,1,1
897,2014,-1,1
897,2014,1,10
897,2015,-1,1
897,2015,1,10
897,2016,1,10
898,2015,1,1
899,2014,-1,1
899,2014,1,5
899,2015,1,4
899,2016,1,4
899,2017,1,1
900,2016,1,2
902,2015,1,5
902,2016,1,3
902,2017,1,1
903,2016,1,1
904,2015,1,1
905,2016,1,1
905,2017,1,2
906,2015,1,1
908,2016,1,1
909,2016,-1,1
910,2014,1,4
910,2015,1,4
910,2016,1,12
910,2017,1,4
911,2015,1,3
912,2015,1,1
913,2014,1,4
913,2015,1,4
913,2016,1,13
915,2016,1,2
915,2017,1,1
916,2016,1,1
916,2017,1,4
917,2014,1,5
917,2015,1,8
917,2016,1,6
917,2017,1,1
918,2016,1,1
919,2016,1,7
919,2017,1,1
920,2016,1,2
920,2017,1,2
921,2016,1,1
922,2015,1,9
924,2016,1,1
925,2014,1,1
926,2015,-1,1
927,2016,1,7
927,2017,1,3
928,2014,1,1
928,2015,1,1
928,2016,1,1
928,2017,1,1
929,2016,1,1
930,2014,1,1
931,2014,1,2
933,2014,1,2
933,2015,1,1
934,2017,1,1
935,2014,1,46
935,2015,1,46
935,2016,1,47
935,2017,1,19
936,2015,1,1
936,2016,1,1
937,2014,1,4
937,2015,1,2
937,2016,1,1
937,2017,1,1
938,2016,1,1
940,2014,1,1
941,2017,1,1
942,2014,1,1
942,2016,1,2
943,2014,1,1
943,2016,1,2
944,2016,1,1
945,2014,1,1
947,2015,1,1
947,2016,1,1
948,2015,1,1
949,2015,1,2
949,2016,1,1
950,2016,1,1
952,2015,1,1
953,2014,1,1
953,2017,1,2
954,2015,1,2
957,2016,1,23
958,2016,1,1
959,2016,1,1
960,2014,1,1
960,2015,1,4
961,2014,1,1
961,2016,1,1
962,2017,1,1
963,2016,1,1
964,2016,1,79
964,2017,1,7
965,2014,1,4
965,2015,1,5
966,2015,1,1
967,2014,1,13
967,2015,-1,1
967,2015,1,10
967,2016,1,12
967,2017,1,2
968,2015,1,1
969,2014,1,5
971,2017,1,1
972,2015,1,1
972,2016,1,1
973,2015,1,1
973,2017,1,1
974,2016,1,2
975,2015,1,2
975,2016,1,1
976,2014,1,1
976,2015,1,1
976,2016,1,1
976,2017,1,2
977,2016,1,4
979,2017,-1,1
979,2017,1,1
980,2014,-1,1
980,2014,1,19
981,2016,1,1
982,2014,1,15
982,2015,1,20
982,2016,1,13
982,2017,1,4
983,2015,1,1
985,2015,1,1
986,2015,1,1
987,2016,1,1
987,2017,-1,1
988,2016,1,1
988,2017,1,2
989,2016,1,1
989,2017,1,1
990,2015,-1,3
990,2015,1,24
990,2016,-1,4
990,2016,1,41
990,2017,-1,1
990,2017,1,16
993,2016,1,1
994,2014,1,1
995,2014,1,2
995,2015,1,3
995,2016,1,5
995,2017,1,4
996,2017,1,1
997,2015,1,1
998,2014,1,4
998,2015,1,3
998,2016,1,2
999,2014,1,1
